Category,Mohave
Total_doses_administered,164531
Total_people_one_dose,85499
Total_people_complete,73857
total_pouluation,85499
Male-65 years and older,19827
Male-55-64 years,7891
Male-45-54 years,4077
Male-20-44 years,7089
Male-Less than 20 years,1470
Female-65 years and older,22247
Female-55-64 years,9253
Female-45-54 years,4630
Female-20-44 years,7164
Female-Less than 20 years,1677
"Black or African American, non-Hispanic",541
"American Indian or Alaska Native, non-Hispanic",653
"Asian or Pacific Islander, non-Hispanic",1216
Hispanic or Latino,6609
Unknown,13157
Other Race,15036
"White, non-Hispanic",48287
