Category,Graham
Total_doses_administered,39412
Total_people_one_dose,19919
Total_people_complete,18024
total_pouluation,19919
Male-65 years and older,2347
Male-55-64 years,1549
Male-45-54 years,1402
Male-20-44 years,3453
Male-Less than 20 years,859
Female-65 years and older,2836
Female-55-64 years,1688
Female-45-54 years,1367
Female-20-44 years,3444
Female-Less than 20 years,962
"Black or African American, non-Hispanic",83
"Asian or Pacific Islander, non-Hispanic",89
Other Race,1507
Hispanic or Latino,3509
Unknown,4197
"American Indian or Alaska Native, non-Hispanic",4771
"White, non-Hispanic",5763
