Category,Cochise
Total_doses_administered,140956
Total_people_one_dose,73414
Total_people_complete,64595
total_pouluation,73414
Male-65 years and older,10709
Male-55-64 years,5203
Male-45-54 years,4047
Male-20-44 years,10946
Male-Less than 20 years,3627
Female-65 years and older,12688
Female-55-64 years,6242
Female-45-54 years,4551
Female-20-44 years,11469
Female-Less than 20 years,3834
"American Indian or Alaska Native, non-Hispanic",320
"Asian or Pacific Islander, non-Hispanic",1357
"Black or African American, non-Hispanic",1400
Unknown,9621
Other Race,11592
Hispanic or Latino,18810
"White, non-Hispanic",30314
