Category,Yuma
Total_doses_administered,269735
Total_people_one_dose,140620
Total_people_complete,122767
total_pouluation,140620
Male-65 years and older,15146
Male-55-64 years,9901
Male-45-54 years,8798
Male-20-44 years,26412
Male-Less than 20 years,8328
Female-65 years and older,17616
Female-55-64 years,10503
Female-45-54 years,9659
Female-20-44 years,24882
Female-Less than 20 years,8860
"Black or African American, non-Hispanic",713
"American Indian or Alaska Native, non-Hispanic",1062
"Asian or Pacific Islander, non-Hispanic",1074
Other Race,15893
"White, non-Hispanic",29200
Unknown,30052
Hispanic or Latino,62626
