Category,Santa Cruz
Total_doses_administered,92696
Total_people_one_dose,48398
Total_people_complete,42956
total_pouluation,48398
Male-65 years and older,4458
Male-55-64 years,3083
Male-45-54 years,3219
Male-20-44 years,8619
Male-Less than 20 years,3888
Female-65 years and older,5355
Female-55-64 years,3332
Female-45-54 years,3441
Female-20-44 years,8666
Female-Less than 20 years,4271
"American Indian or Alaska Native, non-Hispanic",48
"Black or African American, non-Hispanic",51
"Asian or Pacific Islander, non-Hispanic",176
Unknown,3051
Other Race,3169
"White, non-Hispanic",6843
Hispanic or Latino,35060
