Category,Gila
Total_doses_administered,49079
Total_people_one_dose,24920
Total_people_complete,22373
total_pouluation,24920
Male-65 years and older,5613
Male-55-64 years,2175
Male-45-54 years,1223
Male-20-44 years,2299
Male-Less than 20 years,569
Female-65 years and older,6041
Female-55-64 years,2530
Female-45-54 years,1364
Female-20-44 years,2411
Female-Less than 20 years,637
"Black or African American, non-Hispanic",78
"Asian or Pacific Islander, non-Hispanic",199
Hispanic or Latino,1344
"American Indian or Alaska Native, non-Hispanic",2399
Other Race,4430
Unknown,5059
"White, non-Hispanic",11411
