Category,Yuma
Total_doses_administered,266569
Total_people_one_dose,139568
Total_people_complete,122366
total_pouluation,139568
Male-65 years and older,15063
Male-55-64 years,9826
Male-45-54 years,8762
Male-20-44 years,26261
Male-Less than 20 years,8172
Female-65 years and older,17533
Female-55-64 years,10456
Female-45-54 years,9608
Female-20-44 years,24673
Female-Less than 20 years,8701
"Black or African American, non-Hispanic",704
"American Indian or Alaska Native, non-Hispanic",1062
"Asian or Pacific Islander, non-Hispanic",1066
Other Race,15690
"White, non-Hispanic",28845
Unknown,30210
Hispanic or Latino,61991
