Category,Mohave
Total_doses_administered,161912
Total_people_one_dose,84949
Total_people_complete,73455
total_pouluation,84949
Male-65 years and older,19680
Male-55-64 years,7853
Male-45-54 years,4053
Male-20-44 years,7025
Male-Less than 20 years,1461
Female-65 years and older,22121
Female-55-64 years,9207
Female-45-54 years,4603
Female-20-44 years,7110
Female-Less than 20 years,1662
"Black or African American, non-Hispanic",535
"American Indian or Alaska Native, non-Hispanic",643
"Asian or Pacific Islander, non-Hispanic",1205
Hispanic or Latino,6546
Unknown,13243
Other Race,15004
"White, non-Hispanic",47773
