Category,Apache
Total_doses_administered,40022
Total_people_one_dose,21896
Total_people_complete,16821
total_pouluation,21896
Male-65 years and older,2329
Male-55-64 years,1600
Male-45-54 years,1210
Male-20-44 years,2866
Male-Less than 20 years,2715
Female-65 years and older,2735
Female-55-64 years,1726
Female-45-54 years,1232
Female-20-44 years,2685
Female-Less than 20 years,2790
"Black or African American, non-Hispanic",48
"Asian or Pacific Islander, non-Hispanic",111
Hispanic or Latino,494
Other Race,1245
Unknown,1506
"White, non-Hispanic",3279
"American Indian or Alaska Native, non-Hispanic",15213
