Category,Yavapai
Total_doses_administered,213096
Total_people_one_dose,110917
Total_people_complete,95163
total_pouluation,110917
Male-65 years and older,24573
Male-55-64 years,8794
Male-45-54 years,4816
Male-20-44 years,9655
Male-Less than 20 years,2251
Female-65 years and older,30383
Female-55-64 years,11205
Female-45-54 years,5736
Female-20-44 years,9795
Female-Less than 20 years,2561
"Black or African American, non-Hispanic",492
"American Indian or Alaska Native, non-Hispanic",1244
"Asian or Pacific Islander, non-Hispanic",1268
Hispanic or Latino,7389
Other Race,17257
Unknown,24224
"White, non-Hispanic",59043
