Category,Maricopa
Total_doses_administered,4969258
Total_people_one_dose,2491166
Total_people_complete,2244241
total_pouluation,2491166
Male-65 years and older,276796
Male-55-64 years,182548
Male-45-54 years,176487
Male-20-44 years,418787
Male-Less than 20 years,112409
Female-65 years and older,346564
Female-55-64 years,205934
Female-45-54 years,192061
Female-20-44 years,448747
Female-Less than 20 years,116414
"American Indian or Alaska Native, non-Hispanic",45911
"Black or African American, non-Hispanic",90572
"Asian or Pacific Islander, non-Hispanic",118531
Unknown,195322
Hispanic or Latino,403939
Other Race,447119
"White, non-Hispanic",1189772
