Category,Arizona
Total_doses_administered,8452635
Total_people_complete,386668
total_pouluation,7189020
Total_people_one_dose,4300182
Male-65 years and older,539410
Male-55-64 years,314152
Male-45-54 years,283575
Male-20-44 years,698028
Male-Less than 20 years,191544
Female-65 years and older,660083
Female-55-64 years,358435
Female-45-54 years,306523
Female-20-44 years,728681
Female-Less than 20 years,200116
"Black or African American, non-Hispanic",122417
"Asian or Pacific Islander, non-Hispanic",155506
"American Indian or Alaska Native, non-Hispanic",163620
Unknown,472735
Other Race,683878
Hispanic or Latino,765286
"White, non-Hispanic",1936740
