Category,Navajo
Total_doses_administered,85865
Total_people_one_dose,44476
Total_people_complete,38530
total_pouluation,44476
Male-65 years and older,6992
Male-55-64 years,3411
Male-45-54 years,2505
Male-20-44 years,5380
Male-Less than 20 years,3241
Female-65 years and older,7895
Female-55-64 years,3896
Female-45-54 years,2512
Female-20-44 years,5211
Female-Less than 20 years,3398
"Black or African American, non-Hispanic",187
"Asian or Pacific Islander, non-Hispanic",360
Hispanic or Latino,2282
Unknown,2689
Other Race,7707
"White, non-Hispanic",13988
"American Indian or Alaska Native, non-Hispanic",17263
