Category,Coconino
Total_doses_administered,175778
Total_people_one_dose,87785
Total_people_complete,79773
total_pouluation,87785
Male-65 years and older,9071
Male-55-64 years,6117
Male-45-54 years,5583
Male-20-44 years,16398
Male-Less than 20 years,4232
Female-65 years and older,10268
Female-55-64 years,6924
Female-45-54 years,5703
Female-20-44 years,18678
Female-Less than 20 years,4553
"Black or African American, non-Hispanic",673
"Asian or Pacific Islander, non-Hispanic",1420
Hispanic or Latino,6359
Other Race,10305
Unknown,15153
"American Indian or Alaska Native, non-Hispanic",19219
"White, non-Hispanic",34656
