Category,Graham
Total_doses_administered,38928
Total_people_one_dose,19837
Total_people_complete,17961
total_pouluation,19837
Male-65 years and older,2340
Male-55-64 years,1542
Male-45-54 years,1399
Male-20-44 years,3431
Male-Less than 20 years,854
Female-65 years and older,2827
Female-55-64 years,1682
Female-45-54 years,1360
Female-20-44 years,3436
Female-Less than 20 years,954
"Black or African American, non-Hispanic",83
"Asian or Pacific Islander, non-Hispanic",89
Other Race,1520
Hispanic or Latino,3488
Unknown,4197
"American Indian or Alaska Native, non-Hispanic",4753
"White, non-Hispanic",5707
