Category,Greenlee
Total_doses_administered,8116
Total_people_one_dose,4101
Total_people_complete,3641
total_pouluation,4101
Male-65 years and older,500
Male-55-64 years,371
Male-45-54 years,315
Male-20-44 years,762
Male-Less than 20 years,145
Female-65 years and older,502
Female-55-64 years,317
Female-45-54 years,313
Female-20-44 years,725
Female-Less than 20 years,149
"Asian or Pacific Islander, non-Hispanic",41
"Black or African American, non-Hispanic",42
"American Indian or Alaska Native, non-Hispanic",103
Other Race,112
Unknown,310
"White, non-Hispanic",1664
Hispanic or Latino,1829
