Category,La Paz
Total_doses_administered,15661
Total_people_one_dose,8241
Total_people_complete,7264
total_pouluation,8241
Male-65 years and older,2273
Male-55-64 years,586
Male-45-54 years,307
Male-20-44 years,625
Male-Less than 20 years,254
Female-65 years and older,2321
Female-55-64 years,688
Female-45-54 years,357
Female-20-44 years,552
Female-Less than 20 years,261
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",85
"American Indian or Alaska Native, non-Hispanic",383
Other Race,1178
Hispanic or Latino,1193
Unknown,1896
"White, non-Hispanic",3474
