,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,1480973,331712,7196,22953,44002,12995,5556,4053,4250,594075,25412,18199,230553,63106,10735,50891,32424
Total_people_one_dose,1076857,254451,5262,17352,32830,9899,3880,3118,3814,419630,19431,13279,167638,46833,8901,44597,25942
Total_people_complete,398895,86317,,,,,,,,,,,,,,,
Total_doses_ordered,1610310,411412,,,,,,,,,,,,,,,
65 years and older,318397,91333,,,,,,,,,,,,,,,
55-64 years,78320,13762,,,,,,,,,,,,,,,
45-54 years,72678,11610,,,,,,,,,,,,,,,
20-44 years,152981,23569,,,,,,,,,,,,,,,
Less than 20 years,4858,783,,,,,,,,,,,,,,,
65 years and older,258581,79284,,,,,,,,,,,,,,,
55-64 years,48509,8950,,,,,,,,,,,,,,,
45-54 years,46017,8269,,,,,,,,,,,,,,,
20-44 years,90391,15248,,,,,,,,,,,,,,,
Less than 20 years,3040,519,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,2453,473,,,,,,,,,,,,,,,
Black or African American,16105,1201,,,,,,,,,,,,,,,
Asian,24436,3535,,,,,,,,,,,,,,,
American Indian or Alaska Native,33642,6414,,,,,,,,,,,,,,,
Hispanic or Latino,86242,9501,,,,,,,,,,,,,,,
Other Race/Unknown,386504,75446,,,,,,,,,,,,,,,
White,527801,157956,,,,,,,,,,,,,,,
