Category,Graham
Total_doses_administered,36741
Total_people_one_dose,19315
Total_people_complete,17161
total_pouluation,19315
Male-65 years and older,2310
Male-55-64 years,1526
Male-45-54 years,1366
Male-20-44 years,3289
Male-Less than 20 years,811
Female-65 years and older,2783
Female-55-64 years,1656
Female-45-54 years,1340
Female-20-44 years,3310
Female-Less than 20 years,912
"Black or African American, non-Hispanic",80
"Asian or Pacific Islander, non-Hispanic",88
Other Race,1527
Hispanic or Latino,3348
Unknown,4116
"American Indian or Alaska Native, non-Hispanic",4684
"White, non-Hispanic",5472
