Category,Apache
Total_doses_administered,35734
Total_people_one_dose,19853
Total_people_complete,12805
total_pouluation,19853
Male-65 years and older,2074
Male-55-64 years,1409
Male-45-54 years,1079
Male-20-44 years,2595
Male-Less than 20 years,2673
Female-65 years and older,2373
Female-55-64 years,1482
Female-45-54 years,1057
Female-20-44 years,2364
Female-Less than 20 years,2739
"Black or African American, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",106
Hispanic or Latino,462
Unknown,1159
Other Race,1229
"White, non-Hispanic",3167
"American Indian or Alaska Native, non-Hispanic",13683
