Category,Pinal
Total_doses_administered,426754
Total_people_one_dose,229116
Total_people_complete,203540
total_pouluation,229116
Male-65 years and older,34565
Male-55-64 years,17347
Male-45-54 years,15608
Male-20-44 years,34128
Male-Less than 20 years,9331
Female-65 years and older,40158
Female-55-64 years,19707
Female-45-54 years,16008
Female-20-44 years,32131
Female-Less than 20 years,9390
"Asian or Pacific Islander, non-Hispanic",4495
"Black or African American, non-Hispanic",7874
"American Indian or Alaska Native, non-Hispanic",8054
Other Race,30366
Unknown,30563
Hispanic or Latino,35878
"White, non-Hispanic",111886
