Category,Santa Cruz
Total_doses_administered,83854
Total_people_one_dose,45462
Total_people_complete,41166
total_pouluation,45462
Male-65 years and older,4345
Male-55-64 years,3013
Male-45-54 years,3108
Male-20-44 years,8343
Male-Less than 20 years,3201
Female-65 years and older,5238
Female-55-64 years,3260
Female-45-54 years,3306
Female-20-44 years,8294
Female-Less than 20 years,3302
"Black or African American, non-Hispanic",46
"American Indian or Alaska Native, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",167
Unknown,2809
Other Race,3110
"White, non-Hispanic",6661
Hispanic or Latino,32622
