Category,Cochise
Total_doses_administered,127383
Total_people_one_dose,69488
Total_people_complete,62001
total_pouluation,69488
Male-65 years and older,10308
Male-55-64 years,4988
Male-45-54 years,3828
Male-20-44 years,10321
Male-Less than 20 years,3063
Female-65 years and older,12334
Female-55-64 years,6115
Female-45-54 years,4359
Female-20-44 years,10908
Female-Less than 20 years,3172
"American Indian or Alaska Native, non-Hispanic",303
"Asian or Pacific Islander, non-Hispanic",1319
"Black or African American, non-Hispanic",1328
Unknown,9206
Other Race,11403
Hispanic or Latino,16860
"White, non-Hispanic",29069
