Category,Navajo
Total_doses_administered,79324
Total_people_one_dose,42836
Total_people_complete,35933
total_pouluation,42836
Male-65 years and older,6761
Male-55-64 years,3303
Male-45-54 years,2402
Male-20-44 years,5176
Male-Less than 20 years,3119
Female-65 years and older,7627
Female-55-64 years,3756
Female-45-54 years,2407
Female-20-44 years,4958
Female-Less than 20 years,3294
"Black or African American, non-Hispanic",181
"Asian or Pacific Islander, non-Hispanic",353
Hispanic or Latino,2188
Unknown,2378
Other Race,7866
"White, non-Hispanic",13372
"American Indian or Alaska Native, non-Hispanic",16498
