Category,Mohave
Total_doses_administered,150349
Total_people_one_dose,82527
Total_people_complete,70124
total_pouluation,82527
Male-65 years and older,19046
Male-55-64 years,7697
Male-45-54 years,3948
Male-20-44 years,6746
Male-Less than 20 years,1406
Female-65 years and older,21542
Female-55-64 years,9071
Female-45-54 years,4477
Female-20-44 years,6845
Female-Less than 20 years,1580
"Black or African American, non-Hispanic",512
"American Indian or Alaska Native, non-Hispanic",596
"Asian or Pacific Islander, non-Hispanic",1178
Hispanic or Latino,6279
Unknown,12826
Other Race,14911
"White, non-Hispanic",46225
