Category,Coconino
Total_doses_administered,164044
Total_people_one_dose,85749
Total_people_complete,77319
total_pouluation,85749
Male-65 years and older,8818
Male-55-64 years,6008
Male-45-54 years,5457
Male-20-44 years,15961
Male-Less than 20 years,4133
Female-65 years and older,10036
Female-55-64 years,6802
Female-45-54 years,5601
Female-20-44 years,18223
Female-Less than 20 years,4456
"Black or African American, non-Hispanic",653
"Asian or Pacific Islander, non-Hispanic",1384
Hispanic or Latino,6143
Other Race,10542
Unknown,15126
"American Indian or Alaska Native, non-Hispanic",18687
"White, non-Hispanic",33214
