Category,Yuma
Total_doses_administered,249152
Total_people_one_dose,134819
Total_people_complete,117132
total_pouluation,134819
Male-65 years and older,14608
Male-55-64 years,9528
Male-45-54 years,8498
Male-20-44 years,24985
Male-Less than 20 years,7783
Female-65 years and older,17136
Female-55-64 years,10228
Female-45-54 years,9420
Female-20-44 years,23875
Female-Less than 20 years,8312
"Black or African American, non-Hispanic",672
"American Indian or Alaska Native, non-Hispanic",1025
"Asian or Pacific Islander, non-Hispanic",1032
Other Race,14865
"White, non-Hispanic",27636
Unknown,29920
Hispanic or Latino,59669
