Category,Cochise
Total_doses_administered,179209
Total_people_one_dose,86229
Total_people_complete,69302
total_pouluation,86229
Male-65 years and older,11665
Male-55-64 years,5761
Male-45-54 years,4588
Male-20-44 years,12286
Male-Less than 20 years,6412
Female-65 years and older,13638
Female-55-64 years,6851
Female-45-54 years,5147
Female-20-44 years,13039
Female-Less than 20 years,6740
"American Indian or Alaska Native, non-Hispanic",380
"Asian or Pacific Islander, non-Hispanic",1547
"Black or African American, non-Hispanic",1670
Unknown,10431
Other Race,12308
Hispanic or Latino,25684
"White, non-Hispanic",34209
