Category,Mohave
Total_doses_administered,197524
Total_people_one_dose,93774
Total_people_complete,78312
total_pouluation,93774
Male-65 years and older,21728
Male-55-64 years,8509
Male-45-54 years,4446
Male-20-44 years,7919
Male-Less than 20 years,2010
Female-65 years and older,23764
Female-55-64 years,9833
Female-45-54 years,5004
Female-20-44 years,8149
Female-Less than 20 years,2231
"Black or African American, non-Hispanic",660
"American Indian or Alaska Native, non-Hispanic",787
"Asian or Pacific Islander, non-Hispanic",1447
Hispanic or Latino,7735
Unknown,11666
Other Race,14777
"White, non-Hispanic",56702
