Category,Navajo
Total_doses_administered,107980
Total_people_one_dose,51766
Total_people_complete,41794
total_pouluation,51766
Male-65 years and older,7598
Male-55-64 years,3706
Male-45-54 years,2833
Male-20-44 years,6148
Male-Less than 20 years,4828
Female-65 years and older,8556
Female-55-64 years,4226
Female-45-54 years,2845
Female-20-44 years,6059
Female-Less than 20 years,4927
"Black or African American, non-Hispanic",215
"Asian or Pacific Islander, non-Hispanic",385
Unknown,2496
Hispanic or Latino,2717
Other Race,6465
"White, non-Hispanic",16559
"American Indian or Alaska Native, non-Hispanic",22929
