Category,Apache
Total_doses_administered,66781
Total_people_one_dose,31313
Total_people_complete,23402
total_pouluation,31313
Male-65 years and older,2908
Male-55-64 years,2113
Male-45-54 years,1707
Male-20-44 years,4135
Male-Less than 20 years,4430
Female-65 years and older,3486
Female-55-64 years,2281
Female-45-54 years,1696
Female-20-44 years,4022
Female-Less than 20 years,4525
"Black or African American, non-Hispanic",62
"Asian or Pacific Islander, non-Hispanic",140
Hispanic or Latino,615
Unknown,1184
Other Race,1188
"White, non-Hispanic",3746
"American Indian or Alaska Native, non-Hispanic",24378
