Category,Graham
Total_doses_administered,47994
Total_people_one_dose,22159
Total_people_complete,19129
total_pouluation,22159
Male-65 years and older,2456
Male-55-64 years,1620
Male-45-54 years,1482
Male-20-44 years,3729
Male-Less than 20 years,1402
Female-65 years and older,2958
Female-55-64 years,1755
Female-45-54 years,1450
Female-20-44 years,3776
Female-Less than 20 years,1519
"Asian or Pacific Islander, non-Hispanic",90
"Black or African American, non-Hispanic",97
Other Race,1329
Hispanic or Latino,4027
Unknown,4154
"American Indian or Alaska Native, non-Hispanic",5723
"White, non-Hispanic",6739
