Category,Greenlee
Total_doses_administered,10020
Total_people_one_dose,4478
Total_people_complete,3875
total_pouluation,4478
Male-65 years and older,519
Male-55-64 years,383
Male-45-54 years,334
Male-20-44 years,805
Male-Less than 20 years,237
Female-65 years and older,522
Female-55-64 years,319
Female-45-54 years,333
Female-20-44 years,775
Female-Less than 20 years,249
"Asian or Pacific Islander, non-Hispanic",49
"Black or African American, non-Hispanic",53
Other Race,96
"American Indian or Alaska Native, non-Hispanic",127
Unknown,301
"White, non-Hispanic",1821
Hispanic or Latino,2031
