Category,Arizona
Total_doses_administered,10443675
Total_people_complete,4036767
total_pouluation,7189020
Total_people_one_dose,4880947
Male-65 years and older,588636
Male-55-64 years,341512
Male-45-54 years,308697
Male-20-44 years,774278
Male-Less than 20 years,298526
Female-65 years and older,715051
Female-55-64 years,388169
Female-45-54 years,332386
Female-20-44 years,809883
Female-Less than 20 years,303957
"Black or African American, non-Hispanic",149673
"Asian or Pacific Islander, non-Hispanic",187939
"American Indian or Alaska Native, non-Hispanic",212748
Unknown,438821
Other Race,689168
Hispanic or Latino,935315
"White, non-Hispanic",2267283
