Category,Maricopa
Total_doses_administered,6024815
Total_people_one_dose,2763135
Total_people_complete,2357366
total_pouluation,2763135
Male-65 years and older,294415
Male-55-64 years,194171
Male-45-54 years,188845
Male-20-44 years,456461
Male-Less than 20 years,166986
Female-65 years and older,367968
Female-55-64 years,218163
Female-45-54 years,204406
Female-20-44 years,488251
Female-Less than 20 years,169185
"American Indian or Alaska Native, non-Hispanic",54314
"Black or African American, non-Hispanic",108878
"Asian or Pacific Islander, non-Hispanic",141309
Unknown,185978
Other Race,439532
Hispanic or Latino,478659
"White, non-Hispanic",1354465
