Category,Yavapai
Total_doses_administered,262793
Total_people_one_dose,121585
Total_people_complete,101596
total_pouluation,121585
Male-65 years and older,26767
Male-55-64 years,9436
Male-45-54 years,5214
Male-20-44 years,10735
Male-Less than 20 years,3202
Female-65 years and older,32495
Female-55-64 years,11931
Female-45-54 years,6198
Female-20-44 years,10976
Female-Less than 20 years,3489
"Black or African American, non-Hispanic",611
"American Indian or Alaska Native, non-Hispanic",1494
"Asian or Pacific Islander, non-Hispanic",1523
Hispanic or Latino,8701
Other Race,17844
Unknown,18404
"White, non-Hispanic",73008
