Category,Yuma
Total_doses_administered,337625
Total_people_one_dose,166869
Total_people_complete,130278
total_pouluation,166869
Male-65 years and older,17806
Male-55-64 years,11013
Male-45-54 years,9525
Male-20-44 years,29370
Male-Less than 20 years,13865
Female-65 years and older,20393
Female-55-64 years,11836
Female-45-54 years,10495
Female-20-44 years,27671
Female-Less than 20 years,14244
"Black or African American, non-Hispanic",878
"American Indian or Alaska Native, non-Hispanic",1218
"Asian or Pacific Islander, non-Hispanic",1277
Other Race,20056
Unknown,30287
"White, non-Hispanic",37050
Hispanic or Latino,76103
