,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,2546985,653780,11388,42414,72578,23750,8555,6220,8413,961119,48372,26481,358095,110663,19979,94965,65976
Total_people_one_dose,1600942,425117,6766,27798,45843,15278,5224,3614,5311,612333,32699,17429,222339,71255,11724,55787,42425
Total_people_complete,988326,,,,,,,,,,,,,,,,
Total_doses_ordered,2501430,,,,,,,,,,,,,,,,
65 years and older,459232,,,,,,,,,,,,,,,,
55-64 years,158370,,,,,,,,,,,,,,,,
45-54 years,94323,,,,,,,,,,,,,,,,
20-44 years,197539,,,,,,,,,,,,,,,,
Less than 20 years,7978,,,,,,,,,,,,,,,,
65 years and older,3614,,,,,,,,,,,,,,,,
55-64 years,115823,,,,,,,,,,,,,,,,
45-54 years,63174,,,,,,,,,,,,,,,,
20-44 years,125843,,,,,,,,,,,,,,,,
Less than 20 years,5248,,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,3826,,,,,,,,,,,,,,,,
Black or African American,27234,,,,,,,,,,,,,,,,
Asian,38206,,,,,,,,,,,,,,,,
American Indian or Alaska Native,45539,,,,,,,,,,,,,,,,
Hispanic or Latino,140287,,,,,,,,,,,,,,,,
Other Race/Unknown,555799,,,,,,,,,,,,,,,,
White,795336,,,,,,,,,,,,,,,,
