Category,Graham
Total_doses_administered,40188
Total_people_one_dose,20231
Total_people_complete,18121
total_pouluation,20231
Male-65 years and older,2353
Male-55-64 years,1553
Male-45-54 years,1409
Male-20-44 years,3470
Male-Less than 20 years,987
Female-65 years and older,2846
Female-55-64 years,1698
Female-45-54 years,1372
Female-20-44 years,3463
Female-Less than 20 years,1068
"Asian or Pacific Islander, non-Hispanic",80
"Black or African American, non-Hispanic",87
Other Race,1269
Hispanic or Latino,3566
Unknown,3967
"American Indian or Alaska Native, non-Hispanic",5014
"White, non-Hispanic",6248
