Category,Pinal
Total_doses_administered,471789
Total_people_one_dose,240894
Total_people_complete,214663
total_pouluation,240894
Male-65 years and older,35702
Male-55-64 years,17842
Male-45-54 years,16354
Male-20-44 years,36836
Male-Less than 20 years,10712
Female-65 years and older,41265
Female-55-64 years,20147
Female-45-54 years,16620
Female-20-44 years,34013
Female-Less than 20 years,10657
"Asian or Pacific Islander, non-Hispanic",4872
"Black or African American, non-Hispanic",8733
"American Indian or Alaska Native, non-Hispanic",8825
Unknown,28669
Other Race,30088
Hispanic or Latino,38434
"White, non-Hispanic",121273
