Category,Coconino
Total_doses_administered,183862
Total_people_one_dose,90636
Total_people_complete,80274
total_pouluation,90636
Male-65 years and older,9161
Male-55-64 years,6171
Male-45-54 years,5632
Male-20-44 years,16590
Male-Less than 20 years,5253
Female-65 years and older,10357
Female-55-64 years,6985
Female-45-54 years,5742
Female-20-44 years,18911
Female-Less than 20 years,5572
"Black or African American, non-Hispanic",741
"Asian or Pacific Islander, non-Hispanic",1501
Hispanic or Latino,6684
Other Race,8342
Unknown,12979
"American Indian or Alaska Native, non-Hispanic",21345
"White, non-Hispanic",39044
