Category,Navajo
Total_doses_administered,89384
Total_people_one_dose,46071
Total_people_complete,38837
total_pouluation,46071
Male-65 years and older,7075
Male-55-64 years,3431
Male-45-54 years,2550
Male-20-44 years,5463
Male-Less than 20 years,3819
Female-65 years and older,7962
Female-55-64 years,3953
Female-45-54 years,2559
Female-20-44 years,5311
Female-Less than 20 years,3913
"Black or African American, non-Hispanic",193
"Asian or Pacific Islander, non-Hispanic",336
Unknown,2075
Hispanic or Latino,2336
Other Race,6099
"White, non-Hispanic",15537
"American Indian or Alaska Native, non-Hispanic",19495
