Category,Cochise
Total_doses_administered,144943
Total_people_one_dose,75189
Total_people_complete,64886
total_pouluation,75189
Male-65 years and older,10793
Male-55-64 years,5247
Male-45-54 years,4091
Male-20-44 years,11052
Male-Less than 20 years,4208
Female-65 years and older,12761
Female-55-64 years,6293
Female-45-54 years,4606
Female-20-44 years,11591
Female-Less than 20 years,4448
"American Indian or Alaska Native, non-Hispanic",336
"Asian or Pacific Islander, non-Hispanic",1394
"Black or African American, non-Hispanic",1485
Unknown,8719
Other Race,11439
Hispanic or Latino,19861
"White, non-Hispanic",31955
