,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,2825593,734666,11872,47415,80611,25384,9486,6649,9681,1060180,54518,29496,397053,121387,22843,103528,75557
Total_people_one_dose,1782041,480499,7088,31515,49652,16138,5788,3781,6073,669526,37122,19189,250944,78090,14391,61226,51019
Total_people_complete,1103252,,,,,,,,,,,,,,,,
Total_doses_ordered,2501430,,,,,,,,,,,,,,,,
65 years and older,487542,,,,,,,,,,,,,,,,
55-64 years,194465,,,,,,,,,,,,,,,,
45-54 years,104397,,,,,,,,,,,,,,,,
20-44 years,216939,,,,,,,,,,,,,,,,
Less than 20 years,9400,,,,,,,,,,,,,,,,
65 years and older,6073,,,,,,,,,,,,,,,,
55-64 years,149495,,,,,,,,,,,,,,,,
45-54 years,72644,,,,,,,,,,,,,,,,
20-44 years,144497,,,,,,,,,,,,,,,,
Less than 20 years,6224,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",31750,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",48729,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",48616,,,,,,,,,,,,,,,,
Hispanic or Latino,165945,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",272293,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",332053,,,,,,,,,,,,,,,,
"White, non-Hispanic",884431,,,,,,,,,,,,,,,,
