Category,Cochise
Total_doses_administered,114091
Total_people_one_dose,63865
Total_people_complete,56870
Total_doses_ordered,87630
total_pouluation,130808
Male-65 years and older,10426
Male-55-64 years,5026
Male-45-54 years,3551
Male-20-44 years,8962
Male-Less than 20 years,2098
Female-65 years and older,12368
Female-55-64 years,6028
Female-45-54 years,4135
Female-20-44 years,8980
Female-Less than 20 years,2202
"American Indian or Alaska Native, non-Hispanic",306
"Black or African American, non-Hispanic",1174
"Asian or Pacific Islander, non-Hispanic",1246
Unknown,8352
Other Race,9899
Hispanic or Latino,14973
"White, non-Hispanic",27915
