Category,Maricopa
Total_doses_administered,2801353
Total_people_one_dose,1582691
Total_people_complete,1398208
Total_doses_ordered,1535817
total_pouluation,4367835
Male-65 years and older,174401
Male-55-64 years,119478
Male-45-54 years,114720
Male-20-44 years,257749
Male-Less than 20 years,61489
Female-65 years and older,226755
Female-55-64 years,139104
Female-45-54 years,128874
Female-20-44 years,283132
Female-Less than 20 years,65256
"American Indian or Alaska Native, non-Hispanic",34154
"Black or African American, non-Hispanic",59202
"Asian or Pacific Islander, non-Hispanic",76676
Unknown,155257
Other Race,246099
Hispanic or Latino,269693
"White, non-Hispanic",741610
