Category,Apache
Total_doses_administered,22956
Total_people_one_dose,12854
Total_people_complete,11156
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1695
Male-55-64 years,893
Male-45-54 years,581
Male-20-44 years,1067
Male-Less than 20 years,2072
Female-65 years and older,1735
Female-55-64 years,1011
Female-45-54 years,630
Female-20-44 years,996
Female-Less than 20 years,2165
"Asian or Pacific Islander, non-Hispanic",147
"Black or African American, non-Hispanic",230
Unknown,942
Other Race,946
Hispanic or Latino,1488
"White, non-Hispanic",2945
"American Indian or Alaska Native, non-Hispanic",6156
