Category,Navajo
Total_doses_administered,62135
Total_people_one_dose,34689
Total_people_complete,30369
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6135
Male-55-64 years,2802
Male-45-54 years,1919
Male-20-44 years,3888
Male-Less than 20 years,2465
Female-65 years and older,6602
Female-55-64 years,3091
Female-45-54 years,1957
Female-20-44 years,3227
Female-Less than 20 years,2571
"Black or African American, non-Hispanic",195
"Asian or Pacific Islander, non-Hispanic",354
Unknown,1828
Hispanic or Latino,1959
Other Race,7540
"American Indian or Alaska Native, non-Hispanic",9524
"White, non-Hispanic",13289
