Category,Arizona
Total_doses_administered,6753974
Total_people_complete,3317237
Total_doses_ordered,5222530
total_pouluation,7189020
Total_people_one_dose,3700687
Male-65 years and older,505217
Male-55-64 years,285648
Male-45-54 years,242091
Male-20-44 years,559066
Male-Less than 20 years,130718
Female-65 years and older,623734
Female-55-64 years,331350
Female-45-54 years,267854
Female-20-44 years,594865
Female-Less than 20 years,140858
"Black or African American, non-Hispanic",97803
"American Indian or Alaska Native, non-Hispanic",99986
"Asian or Pacific Islander, non-Hispanic",142992
Unknown,401793
Hispanic or Latino,586051
Other Race,635760
"White, non-Hispanic",1736302
