Category,Yavapai
Total_doses_administered,182135
Total_people_one_dose,103694
Total_people_complete,88185
Total_doses_ordered,165060
total_pouluation,232386
Male-65 years and older,23405
Male-55-64 years,8126
Male-45-54 years,4579
Male-20-44 years,8772
Male-Less than 20 years,1651
Female-65 years and older,29192
Female-55-64 years,10483
Female-45-54 years,5373
Female-20-44 years,8948
Female-Less than 20 years,1855
"Black or African American, non-Hispanic",499
"American Indian or Alaska Native, non-Hispanic",1025
"Asian or Pacific Islander, non-Hispanic",1345
Hispanic or Latino,6067
Other Race,16018
Unknown,26557
"White, non-Hispanic",52183
