,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,2306822,583797,10495,37492,66554,20266,7834,5833,7592,873803,43148,24870,330994,99472,17996,86859,57261
Total_people_one_dose,1471365,378571,6450,25896,44009,14534,4867,3557,4664,565332,28999,16557,209146,66050,11117,52997,38619
Total_people_complete,861795,,,,,,,,,,,,,,,,
Total_doses_ordered,2287600,,,,,,,,,,,,,,,,
65 years and older,436240,,,,,,,,,,,,,,,,
55-64 years,129693,,,,,,,,,,,,,,,,
45-54 years,88530,,,,,,,,,,,,,,,,
20-44 years,185719,,,,,,,,,,,,,,,,
Less than 20 years,7115,,,,,,,,,,,,,,,,
65 years and older,52997,,,,,,,,,,,,,,,,
55-64 years,90548,,,,,,,,,,,,,,,,
45-54 years,58178,,,,,,,,,,,,,,,,
20-44 years,115539,,,,,,,,,,,,,,,,
Less than 20 years,4592,,,,,,,,,,,,,,,,
Native Hawaiian or Other Pacific Islander,3397,,,,,,,,,,,,,,,,
Black or African American,23593,,,,,,,,,,,,,,,,
Asian,33482,,,,,,,,,,,,,,,,
American Indian or Alaska Native,40223,,,,,,,,,,,,,,,,
Hispanic or Latino,125548,,,,,,,,,,,,,,,,
Other Race/Unknown,528108,,,,,,,,,,,,,,,,
White,717353,,,,,,,,,,,,,,,,
