Category,Navajo
Total_doses_administered,78968
Total_people_one_dose,44432
Total_people_complete,37690
Total_doses_ordered,44200
total_pouluation,112825
Male-65 years and older,7053
Male-55-64 years,3669
Male-45-54 years,2618
Male-20-44 years,5504
Male-Less than 20 years,3131
Female-65 years and older,7749
Female-55-64 years,3926
Female-45-54 years,2623
Female-20-44 years,4876
Female-Less than 20 years,3248
"Black or African American, non-Hispanic",228
"Asian or Pacific Islander, non-Hispanic",425
Unknown,2251
Hispanic or Latino,2329
Other Race,8473
"White, non-Hispanic",15045
"American Indian or Alaska Native, non-Hispanic",15681
