Category,La Paz
Total_doses_administered,18085
Total_people_one_dose,9973
Total_people_complete,8882
Total_doses_ordered,19000
total_pouluation,22085
Male-65 years and older,3170
Male-55-64 years,700
Male-45-54 years,339
Male-20-44 years,598
Male-Less than 20 years,168
Female-65 years and older,3068
Female-55-64 years,865
Female-45-54 years,363
Female-20-44 years,503
Female-Less than 20 years,177
"Black or African American, non-Hispanic",33
"Asian or Pacific Islander, non-Hispanic",78
"American Indian or Alaska Native, non-Hispanic",228
Hispanic or Latino,1096
Other Race,1148
Unknown,2670
"White, non-Hispanic",4720
