Category,Santa Cruz
Total_doses_administered,72526
Total_people_one_dose,40438
Total_people_complete,36263
Total_doses_ordered,49312
total_pouluation,53161
Male-65 years and older,3649
Male-55-64 years,2670
Male-45-54 years,3121
Male-20-44 years,8002
Male-Less than 20 years,2708
Female-65 years and older,4420
Female-55-64 years,2703
Female-45-54 years,2966
Female-20-44 years,7393
Female-Less than 20 years,2736
"American Indian or Alaska Native, non-Hispanic",19
"Black or African American, non-Hispanic",35
"Asian or Pacific Islander, non-Hispanic",99
Other Race,2064
Unknown,2368
"White, non-Hispanic",4902
Hispanic or Latino,30951
