Category,Apache
Total_doses_administered,34239
Total_people_one_dose,19165
Total_people_complete,12737
Total_doses_ordered,16800
total_pouluation,71808
Male-65 years and older,1985
Male-55-64 years,1335
Male-45-54 years,1057
Male-20-44 years,2591
Male-Less than 20 years,2557
Female-65 years and older,2098
Female-55-64 years,1460
Female-45-54 years,1058
Female-20-44 years,2377
Female-Less than 20 years,2637
"Asian or Pacific Islander, non-Hispanic",172
"Black or African American, non-Hispanic",293
Unknown,1043
Other Race,1306
Hispanic or Latino,1913
"White, non-Hispanic",3352
"American Indian or Alaska Native, non-Hispanic",11086
