Category,Maricopa
Total_doses_administered,3204860
Total_people_one_dose,1821435
Total_people_complete,1578905
Total_doses_ordered,1659789
total_pouluation,4367835
Male-65 years and older,186161
Male-55-64 years,131240
Male-45-54 years,132006
Male-20-44 years,310355
Male-Less than 20 years,86930
Female-65 years and older,240761
Female-55-64 years,151054
Female-45-54 years,145755
Female-20-44 years,336017
Female-Less than 20 years,89297
"American Indian or Alaska Native, non-Hispanic",38945
"Black or African American, non-Hispanic",70963
"Asian or Pacific Islander, non-Hispanic",83622
Unknown,178708
Other Race,279515
Hispanic or Latino,337555
"White, non-Hispanic",832127
