Category,Arizona
Total_doses_administered,7479457
Total_people_complete,3602568
Total_doses_ordered,5346480
total_pouluation,7189020
Total_people_one_dose,4082567
Male-65 years and older,527167
Male-55-64 years,304824
Male-45-54 years,268472
Male-20-44 years,642048
Male-Less than 20 years,171207
Female-65 years and older,649631
Female-55-64 years,350443
Female-45-54 years,293144
Female-20-44 years,676515
Female-Less than 20 years,179524
"Black or African American, non-Hispanic",112740
"American Indian or Alaska Native, non-Hispanic",121624
"Asian or Pacific Islander, non-Hispanic",152009
Unknown,437943
Other Race,686033
Hispanic or Latino,699905
"White, non-Hispanic",1872313
