Category,Mohave
Total_doses_administered,161916
Total_people_one_dose,92417
Total_people_complete,77018
Total_doses_ordered,133190
total_pouluation,216985
Male-65 years and older,21998
Male-55-64 years,8681
Male-45-54 years,4511
Male-20-44 years,7622
Male-Less than 20 years,1411
Female-65 years and older,24530
Female-55-64 years,10092
Female-45-54 years,4811
Female-20-44 years,7082
Female-Less than 20 years,1518
"Black or African American, non-Hispanic",658
"American Indian or Alaska Native, non-Hispanic",963
"Asian or Pacific Islander, non-Hispanic",1338
Hispanic or Latino,6696
Unknown,15569
Other Race,16230
"White, non-Hispanic",50963
