Category,Yuma
Total_doses_administered,221719
Total_people_one_dose,125467
Total_people_complete,106120
Total_doses_ordered,149958
total_pouluation,229957
Male-65 years and older,16119
Male-55-64 years,9051
Male-45-54 years,8019
Male-20-44 years,23516
Male-Less than 20 years,5785
Female-65 years and older,18221
Female-55-64 years,9495
Female-45-54 years,8263
Female-20-44 years,20428
Female-Less than 20 years,6167
"Black or African American, non-Hispanic",729
"Asian or Pacific Islander, non-Hispanic",760
"American Indian or Alaska Native, non-Hispanic",1641
Other Race,11163
"White, non-Hispanic",22537
Unknown,33790
Hispanic or Latino,54847
