Category,Coconino
Total_doses_administered,153707
Total_people_one_dose,84325
Total_people_complete,75740
Total_doses_ordered,97548
total_pouluation,147275
Male-65 years and older,7883
Male-55-64 years,6108
Male-45-54 years,5525
Male-20-44 years,16787
Male-Less than 20 years,3295
Female-65 years and older,8960
Female-55-64 years,6824
Female-45-54 years,5629
Female-20-44 years,19236
Female-Less than 20 years,3992
"Black or African American, non-Hispanic",628
"Asian or Pacific Islander, non-Hispanic",1281
Hispanic or Latino,6077
Other Race,9790
Unknown,16999
"American Indian or Alaska Native, non-Hispanic",17645
"White, non-Hispanic",31905
