Category,Mohave
Total_doses_administered,160079
Total_people_one_dose,91744
Total_people_complete,76058
Total_doses_ordered,133190
total_pouluation,216985
Male-65 years and older,21886
Male-55-64 years,8626
Male-45-54 years,4475
Male-20-44 years,7532
Male-Less than 20 years,1379
Female-65 years and older,24409
Female-55-64 years,10020
Female-45-54 years,4763
Female-20-44 years,7008
Female-Less than 20 years,1487
"Black or African American, non-Hispanic",649
"American Indian or Alaska Native, non-Hispanic",958
"Asian or Pacific Islander, non-Hispanic",1326
Hispanic or Latino,6628
Unknown,15389
Other Race,16174
"White, non-Hispanic",50620
