Category,Maricopa
Total_doses_administered,3172655
Total_people_one_dose,1806276
Total_people_complete,1563610
Total_doses_ordered,1659789
total_pouluation,4367835
Male-65 years and older,185212
Male-55-64 years,130482
Male-45-54 years,130952
Male-20-44 years,306979
Male-Less than 20 years,85741
Female-65 years and older,239607
Female-55-64 years,150191
Female-45-54 years,144660
Female-20-44 years,332573
Female-Less than 20 years,88044
"American Indian or Alaska Native, non-Hispanic",38350
"Black or African American, non-Hispanic",70231
"Asian or Pacific Islander, non-Hispanic",83250
Unknown,176887
Other Race,277713
Hispanic or Latino,333854
"White, non-Hispanic",825991
