Category,Cochise
Total_doses_administered,123829
Total_people_one_dose,69452
Total_people_complete,61095
Total_doses_ordered,90990
total_pouluation,130808
Male-65 years and older,10845
Male-55-64 years,5250
Male-45-54 years,3865
Male-20-44 years,10028
Male-Less than 20 years,2837
Female-65 years and older,12842
Female-55-64 years,6326
Female-45-54 years,4415
Female-20-44 years,10053
Female-Less than 20 years,2899
"American Indian or Alaska Native, non-Hispanic",333
"Black or African American, non-Hispanic",1319
"Asian or Pacific Islander, non-Hispanic",1325
Unknown,9331
Other Race,10556
Hispanic or Latino,16932
"White, non-Hispanic",29656
