Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,7422193,33937,153707,123829,22676,9045,54593,18015,3172655,160079,78592,326146,973940,72140,194659,221719
Total_people_complete,3578966,12621,75740,61095,11158,4393,26413,8846,1563610,76058,37506,165199,484793,36066,93403,106120
Total_doses_ordered,5346480,16800,97548,90990,21350,10850,37560,19000,1659789,133190,44200,199932,626302,49312,172400,149958
total_pouluation,7189020,71808,147275,130808,38476,10375,55159,22085,4367835,216985,112825,455210,1044675,53161,232386,229957
Total_people_one_dose,4059077,19019,84325,69452,12721,5223,29846,9936,1806276,91744,44256,186710,546192,40284,111367,125467
Male-65 years and older,525502,1984,7883,10845,1693,568,5954,3163,185212,21886,7031,30268,73814,3641,24261,16119
Male-55-64 years,303656,1318,6108,5250,1030,619,2669,701,130482,8626,3659,14125,37465,2663,8684,9051
Male-45-54 years,266917,1048,5525,3865,919,531,1654,339,130952,4475,2601,13272,32675,3112,5096,8019
Male-20-44 years,636783,2555,16787,10028,2165,1127,3307,589,306979,7532,5467,31551,81086,7980,9996,23516
Male-Less than 20 years,169354,2546,3295,2837,457,100,795,162,85741,1379,3122,6249,22174,2683,2161,5785
Female-65 years and older,647699,2087,8960,12842,2134,537,6316,3065,239607,24409,7721,34714,97191,4417,30272,18221
Female-55-64 years,349155,1450,6824,6326,1180,427,2977,863,150191,10020,3922,15020,46162,2695,11097,9495
Female-45-54 years,291597,1050,5629,4415,830,390,1746,362,144660,4763,2612,11877,38268,2958,5942,8263
Female-20-44 years,671315,2343,19236,10053,1778,830,3433,499,332573,7008,4844,22876,92906,7368,10142,20428
Female-Less than 20 years,177545,2628,3992,2899,524,91,933,171,88044,1487,3243,6164,23494,2697,2403,6167
"Black or African American, non-Hispanic",111817,290,628,1319,75,47,100,32,70231,649,228,5390,10778,35,616,729
"American Indian or Alaska Native, non-Hispanic",120583,11019,17645,333,1084,97,6077,219,38350,958,15653,8949,11589,19,1134,1641
"Asian or Pacific Islander, non-Hispanic",151495,170,1281,1325,65,51,261,78,83250,1326,424,3340,13736,99,1458,760
Unknown,435202,1024,16999,9331,4020,478,5478,2667,176887,15389,2249,37718,84342,2362,27553,33790
Other Race,683470,1294,9790,10556,970,143,4963,1146,277713,16174,8454,20091,69609,2059,17130,11163
Hispanic or Latino,693654,1894,6077,16932,2095,2270,1373,1088,333854,6628,2311,29854,131023,30825,7119,54847
"White, non-Hispanic",1862856,3328,31905,29656,4412,2137,11594,4706,825991,50620,14937,81368,225115,4885,56357,22537
